user,is_private,is_failure,is_root,is_success,command,ipaddress,date,target
service,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:42,0
root,0,1,1,0,0,185.246.130.20,2021-11-18 23:03:46,0
ftpuser,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:47,0
ubnt,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:49,0
user,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:51,0
-1,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:53,0
-1,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:56,0
root,0,1,1,0,0,185.246.130.20,2021-11-18 23:03:58,0
-1,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:02,0
root,0,1,1,0,0,185.246.130.20,2021-11-18 23:04:04,0
-1,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:05,0
-1,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:07,0
root,0,1,1,0,0,185.246.130.20,2021-11-18 23:04:08,0
ubnt,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:11,0
root,0,1,1,0,0,185.246.130.20,2021-11-18 23:04:12,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:14,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:22,0
-1,0,1,1,0,0,185.246.130.20,2021-11-18 23:04:25,0
test,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:27,0
ubnt,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:30,0
USERID,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:32,0
monitor,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:34,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:36,0
git,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:38,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:41,0
nagios,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:42,0
tomcat,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:43,0
usuario,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:45,0
user,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:47,0
debian,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:48,0
-1,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:50,0
test123,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:52,0
ubnt,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:54,0
